medcodeid	term	snomedctconceptid	snomedctdescriptionid	type
14077721000006115	Non-high-risk proliferative retinopathy due to diabetes mellitus	312906006	3781787019	0
616751000006119	Diabetes monitoring third letter	185758007	285756014	0
13953211000006119	Ulcer of left foot due to diabetes mellitus	860978005	3947164011	0
12185421000006113	Polyneuropathy due to diabetes mellitus	49455004	3695673019	0
8267041000006114	Diabetes monitoring injection site check declined	819301000000105	2134281000000112	0
616741000006116	Diabetes monitoring second letter	185757002	285755013	0
616151000006118	Diabetes mellitus - unspec whether in pregnancy/puerperium	199223000	306106018	0
2337941000000112	Diabetes Distress Scale 2 item score	909421000000102	2337981000000116	0
169731000006118	Retinal abnormality - diabetes-related	4855003	1230609013	0
1979691000006117	Liverpool diabetes pilot administration	1979691000006101	1979691000006117	0
8098371000006112	XPERT (expert patient education versus routine treatment) diabetes structured education programme completed	306531000000104	1678381000000110	0
616561000006113	Diabetes mellitus, adult with gangrene	421631007	2618206011	0
7708081000006116	Gastroparesis due to diabetes mellitus	713704004	3297389017	0
2262381000000117	Conversion to insulin by diabetes specialist nurse	876381000000100	2262381000000117	0
1946691000006110	Provision of written information about diabetes and hypertension	715759002	3303627011	0
292622015	Diabetes mellitus with unspecified complication	74627003	123939015	0
616461000006112	Diabetes mellitus with renal manifestation	127013003	301016	0
8275381000006118	Endocrinology and diabetes	828901000000109	2154751000000112	0
908831000006118	[RFC] Diabetes mellitus	908831000006102	908831000006118	0
616351000006115	Diabetes mellitus with gangrene	422275004	2616612015	0
532331000000119	Diabetes structured education programme completed	755491000000100	1662411000000116	0
285753018	Diabetes monitoring default	185755005	285753018	0
2287971000000119	Diabetes mellitus in remission	703136005	3007272014	0
1488441010	Diabetes medication review	394725008	1488441010	0
453100011	H/O: Admission in last year for diabetes foot problem	309635005	453100011	0
216195015	Diabetes care by hospital only	243860001	364695019	0
2548271013	Agreeing on diabetes care plan	703040004	3006793017	0
2156571000000116	Provision of diabetes clinical summary	829521000000104	2156571000000116	0
1873301000006114	Care contact service: diabetes	1873301000006105	1873301000006114	0
1947161000006114	Joint consultation with General Practitioner and community diabetes specialist nurse	956921000000109	2439751000000110	0
1776581000006117	Reason for referral: Diabetes	1776581000006101	1776581000006117	0
12489821000006114	Diabetes key contact	408290003	2159854012	0
1856641000006113	Diabetes monitoring in primary care	1856641000006109	1856641000006113	0
2205911000000116	Diabetes clinical pathway	851501000000106	2205911000000116	0
2683591000006110	Unstable diabetes mellitus	11530004	2871747019	0
958321000006115	DHDS pilot project outcome - new diagnosis Diabetes	958321000006104	958321000006115	0
2115761000000117	Diabetes self-management plan review	810961000000103	2115761000000117	0
7565341000006118	Diabetes clinic	702706001	3005741010	0
1918361000006116	Diabetes care planning test results sent to patient	1918361000006100	1918361000006116	0
546471000000114	Diabetes structured education programme declined	306591000000103	546471000000114	0
8098321000006111	Diabetes education and self management for ongoing and newly diagnosed structured programme completed	306501000000105	546171000000118	0
2287311000000111	Diabetes Year of Care annual review	887861000000105	2287311000000111	0
548131000000119	Did not attend XPERT diabetes structured education programme	307201000000109	548131000000119	0
12734341000006113	QOF (Quality and Outcomes Framework) diabetes mellitus quality indicator-related care invitation using preferred method of communication	143401000000102	1628271000000116	0
881501000006110	Diabetes + neuropathy	230572002	881501000006110	0
881491000006119	Diabetes + eye manifestation	25093002	881491000006119	0
292489017	Diabetes mellitus NOS with ketoacidotic coma	420422005	2616611010	0
5549771000006119	DTSQ - Diabetes treatment satisfaction questionnaire	273412002	408810010	0
264693010	Has seen dietician - diabetes	170752001	264693010	0
12085031000006111	Preproliferative retinopathy of right eye co-occurrent and due to diabetes mellitus	769181007	3689266014	0
7500351000006110	Renal cysts and diabetes syndrome	609572000	3435009012	0
13810171000006113	Vitreous haemorrhage due to diabetes mellitus	312910009	3776684014	0
620171000000113	Referral to diabetes special interest general practitioner	334711000000100	620171000000113	0
292488013	Coma associated with diabetes mellitus	420662003	2618230013	0
8098221000006116	Attended expert patient education versus routine treatment diabetes structured education programme	306401000000106	545911000000117	0
1979741000006115	Liverpool diabetes pilot - support option 3	1979741000006104	1979741000006115	0
12085921000006112	Clinically significant macular oedema of left eye due to diabetes mellitus	769222008	3690182014	0
14233341000006113	Diabetes care plan	1362341000000103	2879061000000116	0
1227774019	[V]Dietary counselling in diabetes mellitus	284350006	2575925018	0
2609971000000114	Referred by Diabetes UK roadshow clinician	1033551000000109	2609971000000114	0
11924351000006118	Diabetes treatment satisfaction questionnaire	273412002	408811014	0
1935341000006117	Patient in diabetes study	1935341000006101	1935341000006117	0
12078901000006118	Cataract of right eye due to diabetes mellitus	768792007	3688527014	0
12078931000006114	Cataract of left eye due to diabetes mellitus	768793002	3688525018	0
547191000000117	Did not attend diabetes structured education programme	306861000000107	547191000000117	0
7804621000006115	Not suitable for DESMOND (Diabetes Education and Self Management for Ongoing and Newly Diagnosed) program	720504004	3321059017	0
12734771000006118	Declined to register for access to online diabetes self-management application	143941000000106	1629461000000118	0
1139861000000119	Declined consent for diabetes year of care programme	512581000000104	1139861000000119	0
14092431000006119	Disorder of right macula due to diabetes mellitus	769244003	3778103012	0
881511000006113	Diabetes + periph.circulat.dis	422275004	881511000006113	0
913591000006110	Skin ulcer associated with diabetes mellitus	422183001	2623058011	0
292480018	Diabetes mellitus with hyperosmolar coma	422126006	2618221017	0
3515955014	Diabetes self management plan	735985000	3515955014	0
616701000006118	Diabetes monitoring telephone invite	185760009	285758010	0
13791991000006116	Proteinuric nephropathy due to diabetes mellitus	236500003	3775761019	0
933231000006118	Hypo states in diabetes	658061000000102	933231000006118	0
1856651000006110	Diabetes monitoring in secondary care	1856651000006106	1856651000006110	0
14073101000006118	Nocturnal hypoglycaemia due to diabetes mellitus	237635002	3874275018	0
616391000006114	Nervous system disorder due to diabetes mellitus	422088007	3688477014	0
1013661000006110	Adverse reaction to Drugs Used In Diabetes	1013661000006106	1013661000006110	0
16171000000110	Diabetes monitoring admin.NOS	713671000000109	1564911000000111	0
6718121000006115	Diabetes type	405751000	2157527011	0
7500211000006117	Pre-existing diabetes mellitus in pregnancy	609563008	2967860014	0
3636752017	Acute complication co-occurrent and due to diabetes mellitus	762489000	11692201000006114	0
1916521000006118	Access to online patient diabetes education given	1916521000006102	1916521000006118	0
2586691000000116	Under care of hospital-based diabetes specialist nurse	1024551000000109	2586691000000116	0
1858811000006114	AURAS-AF - consider the patient to have diabetes	1858811000006105	1858811000006114	0
8459531000006110	Diabetes monitoring invitation email	1083111000000108	2714151000000110	0
1932051000006114	3D study - problems with diabetes management	1932051000006105	1932051000006114	0
13781000006113	Other specified diabetes mellitus with other spec comps	73211009	121589010	0
189831000000116	Informed consent for diabetes national audit	113131000000107	189831000000116	0
546001000000113	Attended XPERT diabetes structured education programme	306401000000106	546001000000113	0
616831000006118	Diabetes with gangrene	422275004	2616612015	0
14071551000006111	Ischaemic ulcer of foot due to diabetes mellitus	201250006	3789745018	0
14079681000006115	Nonproliferative retinopathy due to diabetes mellitus	390834004	3780158017	0
292621010	Diabetes mellitus NOS with other specified manifestation	73211009	121589010	0
1957911000006111	H/O: hypoglycaemic event in diabetes	1957911000006107	1957911000006111	0
2159956013	Under care of diabetes specialist nurse	408392008	2159956013	0
13949611000006116	No maculopathy of left eye due to diabetes mellitus	860709007	3943799017	0
14058781000006117	Autonomic neuropathy due to diabetes mellitus	50620007	3788972012	0
2474334019	Diabetes clinical management plan	736284000	3517021014	0
2548430017	Discharged from care of diabetes specialist nurse	417467000	2548430017	0
14071341000006117	Asymptomatic neuropathy due to diabetes mellitus	193185007	3789543011	0
189841000000113	Informed dissent for diabetes national audit	113141000000103	189841000000113	0
2279291000000114	Advice about diabetes and driving	700414001	2990473010	0
5988631000006117	Diabetes dietitian	309417009	452832018	0
8099161000006114	Did not complete diabetes education and self management for ongoing and newly diagnosed structured programme	306991000000107	547461000000117	0
2683561000006119	Brittle diabetes mellitus	11530004	2658852011	0
14073091000006112	Hypoglycaemia due to diabetes mellitus	237633009	3873414017	0
2474726011	Pan retinal photocoagulation for diabetes	413180006	2474726011	0
13953421000006114	At low risk of ulcer of left foot due to diabetes mellitus	863880004	3950860012	0
616421000006118	Eye disorder due to diabetes mellitus	25093002	3688467012	0
8099341000006113	Did not attend expert patient education versus routine treatment diabetes structured education programme	307201000000109	548071000000116	0
13810181000006111	Macular oedema due to diabetes mellitus	312912001	3776797019	0
2283241000000113	Diabetes structured education programme not available	885931000000100	2283241000000113	0
13488541000006117	Nonproliferative retinopathy of left eye due to diabetes mellitus	816177009	3850595016	0
14067581000006118	Disorder of kidney due to diabetes mellitus	127013003	3782027011	0
2532967014	Clinically significant macular oedema of right eye due to diabetes mellitus	769221001	3690175010	0
12626341000006114	QOF (Quality and Outcomes Framework) diabetes mellitus quality indicator-related care invitation	1110921000000100	2779821000000117	0
13790061000006119	Neuropathic ulcer of foot due to diabetes mellitus	201251005	3775803010	0
3690681000006114	DM - Diabetes mellitus	73211009	502372015	0
292512019	Diabetes mellitus NOS with neurological manifestation	422088007	2618195014	0
8439961000006111	Diabetes monitoring SMS (short message service) text message second invitation	1066921000000106	2679861000000116	0
12085891000006118	Clinically significant macular oedema of right eye co-occurrent and due to diabetes mellitus	769221001	3690175010	0
25261000000111	Diabetes clinic administration	713691000000108	1564931000000115	0
1979721000006110	Liverpool diabetes pilot - support option 1	1979721000006106	1979721000006110	0
14059421000006119	Proliferative retinopathy due to diabetes mellitus	59276001	3780380014	0
5110071000006112	Hypoglycaemic event in diabetes	237632004	356141011	0
546291000000112	XPERT diabetes structured education programme completed	306531000000104	546291000000112	0
12490031000006110	Patient offered diabetes structured education programme	416672007	2549196011	0
13488551000006115	Nonproliferative retinopathy of right eye due to diabetes mellitus	816178004	3850596015	0
12166111000006116	Retinopathy due to diabetes mellitus	4855003	3688792011	0
6837961000006116	Panretinal photocoagulation for diabetes	413180006	2478684010	0
292484010	Hyperosmolar coma associated with diabetes mellitus	422126006	2618221017	0
8082951000006116	Attended diabetes education and self management for ongoing and newly diagnosed structured programme	276651000000107	474071000000116	0
1824931000006119	Home visit for diabetes monitoring	1824931000006103	1824931000006119	0
7863811000006111	Lumbosacral plexopathy with diabetes mellitus	724997001	3436918017	0
12102571000006117	Clinically significant macular oedema with diabetes mellitus	770097006	3698448011	0
979861000006114	Family/carer attended diabetes structured education programme	414229005	2533099013	0
2176771000000110	Referral to community diabetes specialist nurse declined	838731000000104	2176771000000110	0
2533107019	Patient diabetes education review	385805005	1459984016	0
13771000006110	Other specified diabetes mellitus with ophthalmic complicatn	25093002	42062018	0
121589010	Diabetes mellitus	73211009	121589010	0
1775381000006118	Referred to Diabetes Service	1775381000006102	1775381000006118	0
1823921000006119	Diabetes mellitus confirmed	1823921000006103	1823921000006119	0
12115561000006115	Remote diabetes structured education and support programme commenced	1097131000000105	2747511000000117	0
6843971000006117	Attended diabetes structured education program	413597006	2533101018	0
2159854012	Diabetes key contact	932321000000105	2388971000000113	0
12705021000006112	Clinically significant macular oedema of right eye due to diabetes mellitus	769221001	3690177019	0
12704411000006113	Peripheral circulatory disorder associated with diabetes mellitus	421895002	2618203015	0
1824081000006117	Diabetes clinical pathway protocol followed	1824081000006101	1824081000006117	0
2159979014	Maculopathy of right eye with diabetes mellitus	769244003	3698428016	0
292503016	Diabetes mellitus NOS with ophthalmic manifestation	25093002	42062018	0
2220161000000117	Provision of written information about diabetes and driving	857921000000103	2220161000000117	0
292617015	Diabetes mellitus with other specified manifestation	74627003	123939015	0
292479016	Diabetes mellitus NOS with ketoacidosis	420422005	2616611010	0
8413691000006118	X-PERT (expert patient education versus routine treatment) First Steps diabetes self-management programme completed	1033281000000100	2609421000000115	0
2549196011	Patient offered diabetes structured education programme	1103691000000102	2762991000000111	0
13790071000006114	Neuropathic arthropathy due to diabetes mellitus	201724008	3775805015	0
14073071000006111	Severe hyperglycaemia due to diabetes mellitus	237621004	3866616016	0
547331000000115	Did not complete diabetes structured education programme	306931000000106	547331000000115	0
377001000006117	[X]Diabetes mellitus	73211009	121589010	0
14092441000006112	Disorder of left macula due to diabetes mellitus	769245002	3778100010	0
264724019	Diabetes: shared care programme	170775008	264724019	0
8098961000006118	Referral to expert patient education versus routine treatment diabetes structured education programme	306771000000105	546981000000119	0
411891014	Unstable diabetes	11530004	19931010	0
14077711000006111	Severe nonproliferative retinopathy due to diabetes mellitus	312905005	3780111013	0
8259001000006114	Self management of diabetes	806961000000103	1804001000000113	0
303846016	Nephrotic syndrome in diabetes mellitus	197605007	303846016	0
3511581000006114	Pretibial pigmental patches in diabetes	62260007	103479010	0
259365016	Glucose tolerance test indicates diabetes mellitus	166928007	2817641015	0
8098241000006111	Attended XPERT (expert patient education versus routine treatment) diabetes structured education programme	306401000000106	1678351000000116	0
13811000006110	Other specified diabetes mellitus with unspecified comps	74627003	123939015	0
1628691000006114	Seen by general practitioner with special interest in diabetes	300641000000105	532621000000114	0
264726017	Diabetes management plan given	170742000	264676010	0
616381000006111	Diabetes mellitus with ketoacidotic coma	26298008	44045012	0
13791000006111	Other specified diabetes mellitus with periph circ comps	421895002	2618203015	0
453050019	Education score - diabetes	309593006	453050019	0
6953871000006115	Ketoacidosis in diabetes mellitus	420422005	2622192019	0
285752011	Refuses diabetes monitoring	185754009	285752011	0
887971000006115	Preg.+ diabetes mellitus	199223000	887971000006115	0
881481000006117	Diabetes + nephropathy	127013003	881481000006117	0
12116461000006113	Did not commence remote structured diabetes education and support programme	1098011000000102	2749351000000119	0
905621000006113	[RFC] Diabetes	905621000006109	905621000006113	0
616451000006110	Diabetes mellitus with polyneuropathy	49455004	82373015	0
12010081000006119	Provision of patient held diabetes record declined	763782001	3643834015	0
1628311000006111	Did not complete XPERT diabetes structured education programme	307021000000105	547581000000110	0
14071441000006113	Cellulitis of foot due to diabetes mellitus	200687002	3849964017	0
8428511000006111	Seen in community diabetes antenatal clinic	1054211000000106	2653231000000114	0
547061000000110	Referral to XPERT diabetes structured education programme	306771000000105	547061000000110	0
2182651000000118	Referral to community diabetes clinic	841221000000102	2182651000000118	0
7507871000006114	Diabetes self management plan	698360004	2973971011	0
764201000006110	Foot abnormality - diabetes related	280137006	417658010	0
2532974016	Transition of diabetes care options discussed	415744000	2532974016	0
1966441000006113	Recommendation to self-refer for diabetes structured education	977201000000107	2485781000000113	0
14057821000006112	Radiculoplexus neuropathy due to diabetes mellitus	39181008	3793237019	0
456686014	Attending diabetes clinic	312888008	456686014	0
2683581000006112	Labile diabetes	11530004	1220208016	0
2378231000000112	Discharge from secondary care diabetes service	927821000000100	2378231000000112	0
2460621000000111	Provision of diabetes identity card	719570003	3316960010	0
1946711000006113	Provision of written information about diabetes and high cholesterol	715879000	3304025010	0
1850931000006111	Reason for influenza vaccine - diabetes mellitus	1850931000006107	1850931000006111	0
2549069011	Seen in community diabetes specialist clinic	416554009	2549069011	0
408811014	DTSQs (Diabetes Treatment Satisfaction Questionnaire status version) score	765147009	3657199015	0
14174321000006116	Chronic kidney disease stage 5 due to drug induced diabetes mellitus	368461000119103	4016035015	0
1877371000006111	Diabetes clinical management plan no longer in place	1877371000006107	1877371000006111	0
5505651000006113	Diabetes mellitus uncontrolled	268519009	2920470017	0
8033291000006116	Pre-existing diabetes mellitus in mother complicating childbirth	106281000119103	3005790010	0
14070771000006115	Loss of hypoglycaemic warning due to diabetes mellitus	170766006	3873345019	0
1967341000006115	Not suitable for DESMOND (Diabetes Education and Self Management for Ongoing and Newly Diagnosed) programme	720504004	3321058013	0
2451551000000117	Diabetes education care plan	961931000000109	2451551000000117	0
2693189019	Health education - diabetes	385805005	2693189019	0
213141000006111	Pre-existing diabetes mellitus, unspecified	385051000000106	760131000000111	0
214921000006116	Polyneuropathy in diabetes	49455004	82373015	0
8098351000006119	Expert patient education versus routine treatment diabetes structured education programme completed	306531000000104	546241000000119	0
292475010	Diabetes mellitus NOS with no mention of complication	111552007	178796018	0
616441000006113	Peripheral vascular disorder due to diabetes mellitus	421895002	3688501014	0
14077381000006115	Hyperosmolar non-ketotic state due to diabetes mellitus	310505005	3873751010	0
1488822019	Urine screening test for diabetes	395123002	1488822019	0
251591016	H/O: diabetes mellitus	161445009	251591016	0
292495016	Other specified diabetes mellitus with renal complications	127013003	301016	0
2737581000000113	Signposting to Diabetes UK	1092721000000109	2737581000000113	0
292466013	Diabetes mellitus without complication	111552007	178796018	0
12734741000006114	Registration for access to online diabetes self-management application	143911000000105	1629391000000115	0
14085781000006119	Macroalbuminuric nephropathy due to diabetes mellitus	445170001	3800545010	0
2279261000000115	Education about diabetes and driving	700414001	2990473010	0
1979731000006113	Liverpool diabetes pilot - support option 2	1979731000006109	1979731000006113	0
1853141000006111	In-house diabetes foot screening	1853141000006107	1853141000006111	0
13767911000006119	Disorder of eye due to diabetes mellitus	25093002	3776167019	0
13949641000006117	No maculopathy of right eye due to diabetes mellitus	860710002	3943806012	0
2461101000000116	Has diabetes identity card	720724003	3321867012	0
1858831000006115	AURAS-AF - more time needed to decide on diabetes status	1858831000006104	1858831000006115	0
8279271000006111	Provision of written information about diabetes	837801000000103	2174791000000119	0
1946701000006110	Provision of written information about diabetes and high haemoglobin A1c level	719943000	3318543018	0
8439971000006116	Diabetes monitoring SMS (short message service) text message third invitation	1066931000000108	2679881000000113	0
616691000006118	Diabetes monitoring check done	270445003	405056017	0
1856661000006112	Diabetes treatment type	1856661000006108	1856661000006112	0
5999771000006115	Diabetes monitoring invitation	310425007	453998014	0
2548633012	Provision of patient held diabetes record refused	763782001	3643843012	0
292523015	Diabetes mellitus NOS with peripheral circulatory disorder	421895002	2618203015	0
3514795011	Hyperosmolar hyperglycaemic coma due to diabetes mellitus without ketoacidosis	735537007	3514795011	0
12115571000006110	Remote diabetes structured education and support programme completed	1097141000000101	2747531000000113	0
8236711000006119	DNA (did not attend) diabetes foot screening	762811000000109	1690661000000115	0
345487013	Diabetes mellitus with neuropathy	230572002	345487013	0
1227832019	[V]Screening for diabetes mellitus (DM)	171183004	265249012	0
1984081000006115	Manchester triage - Diabetes	1984081000006104	1984081000006115	0
405057014	Diabetes monitored	270445003	405057014	0
21631000000117	Diabetes monitoring administration	713671000000109	1564911000000111	0
479981000000119	Referral to community diabetes specialist nurse	279521000000108	479981000000119	0
292565014	Diabetes mellitus with multiple complications	385041000000108	760111000000115	0
5110081000006110	Hypoglycemic event in diabetes	237632004	356142016	0
12300391000006115	Macular oedema not clinically significant with diabetes mellitus	399864000	3698421010	0
459520010	Diabetes resolved	315051004	459520010	0
14057771000006116	Lumbosacral radiculoplexus neuropathy due to diabetes mellitus	39058009	3793242010	0
1979761000006116	Liverpool diabetes pilot - support option 5	1979761000006100	1979761000006116	0
14072621000006113	Traction detachment of retina due to diabetes mellitus	232023006	3779262016	0
5549741000006110	Diabetes clinic satisfaction questionnaire	273411009	408808013	0
13761000006115	Other specified diabetes mellitus with neurological comps	422088007	2618195014	0
2369111000000112	Lifestyle education for diabetes	923461000000103	2369111000000112	0
14060651000006114	Complication due to diabetes mellitus	74627003	3793248014	0
1230890017	Autonomic neuropathy due to diabetes	50620007	1230890017	0
14073081000006114	Hypoglycaemic event due to diabetes	237632004	3873341011	0
7863801000006113	Lumbosacral plexopathy co-occurrent and due to diabetes mellitus	724997001	3436917010	0
301641000000117	Diabetes monitoring higher risk albumin excretion	199491000000103	1749311000000117	0
14092491000006115	Erectile dysfunction due to diabetes mellitus	770096002	3793328016	0
8428521000006115	Seen in hospital diabetes antenatal clinic	1054221000000100	2653251000000119	0
13530301000006111	Age, Blood pressure, Clinical features, Duration, Diabetes 2 score	774086001	3727924015	0
2533102013	Attended diabetes structured education programme	413597006	2533102013	0
1755441000006119	Diabetes monitoring invitation by short message service text messaging	705072004	3022978015	0
6611521000006112	Diabetes self-monitoring health education	398773005	2576254011	0
200111000006116	Diabetes mellitus diet education	284350006	2575925018	0
8439941000006112	Diabetes monitoring SMS (short message service) text message first invitation	1066911000000100	2679841000000117	0
13832391000006118	Infection of foot due to diabetes mellitus	419100001	3775800013	0
2533106011	Referral to diabetes preconception counselling clinic	415269004	2533106011	0
285751016	Attends diabetes monitoring	185753003	285751016	0
7567341000006113	Diabetes foot care clinic	702848001	3006333017	0
285759019	Diabetes monitoring deleted	185761008	285759019	0
8428501000006113	Seen in diabetes preconception counselling clinic	1054201000000109	2653211000000118	0
14077731000006117	High risk proliferative retinopathy due to diabetes mellitus	312907002	3781001013	0
1979751000006118	Liverpool diabetes pilot - support option 4	1979751000006102	1979751000006118	0
2117891000000114	Diabetes self-management plan agreed	811981000000102	2117891000000114	0
2159980012	Maculopathy of left eye with diabetes mellitus	769245002	3698426017	0
6931861000006110	Infection of foot associated with diabetes	419100001	2576753016	0
5110091000006113	Hypoglycaemic state in diabetes	237633009	356144015	0
1947151000006112	Joint consultation with practice nurse and community diabetes specialist nurse	956781000000107	2439471000000113	0
2243331000000115	Erectile dysfunction due to diabetes mellitus	867891000000101	2243331000000115	0
356119011	Abnormal metabolic state in diabetes mellitus	237620003	356119011	0
2586611000000113	Seen by diabetes specialist nurse	720685006	3320858019	0
616801000006114	Diabetes resolved	315051004	459520010	0
354316011	Kidney disorder due to diabetes mellitus	127013003	3688488015	0
1694761000006113	Newly diagnosed diabetes	405749004	2157525015	0
4539561000006114	History of diabetes mellitus	161445009	2986596017	0
13833601000006113	Hyperosmolar coma due to diabetes mellitus	422126006	3775758015	0
2817479019	Hyperglycaemic crisis in diabetes mellitus	441656006	2817479019	0
457953019	HbA1 level (Diabetes Control and Complications Trial aligned)	1019551000000104	2583661000000115	0
457954013	HbA1c level (Diabetes Control and Complications Trial aligned)	1019431000000105	2566161000000115	0
11633211000006112	Atypical diabetes mellitus	530558861000132104	3334354013	0
13953411000006118	At low risk of ulcer of right foot due to diabetes mellitus	863879002	3950857017	0
2622193012	Diabetes mellitus with ketoacidosis	420422005	2622193012	0
1690631000000113	Did not attend diabetes foot screening	762811000000109	1690631000000113	0
4636471000006118	Has seen dietitian - diabetes	170752001	264694016	0
292496015	Diabetes mellitus with nephropathy NOS	127013003	301016	0
14077471000006114	Advanced retinal disease due to diabetes mellitus	311782002	3777787015	0
1891061000006117	Participant in Diabetes Aerobic and Resistance Exercise study	1891061000006101	1891061000006117	0
14072461000006116	Neuropathy due to diabetes mellitus	230572002	3788985010	0
616821000006116	Diabetes wellbeing questionnaire	273413007	408812019	0
958071000006117	DNA - Diabetes, Heart disease & Stroke prevention pilot project	958071000006101	958071000006117	0
301611000000118	Diabetes monitoring lower risk albumin excretion	199481000000100	1749411000000114	0
1946681000006112	Provision of written information about diabetes & hypertensn	715759002	3303627011	0
5979491000006119	Diabetes monitoring call	308505000	451865012	0
461270012	[V]Screening for diabetes mellitus	171183004	265249012	0
881521000006117	Diabetes + other complications	658011000000104	881521000006117	0
12363701000006117	Gastroparesis with diabetes mellitus	713704004	3698404018	0
2533110014	Referral to diabetes structured education programme	415270003	2533110014	0
13751000006117	Other specified diabetes mellitus with multiple comps	385041000000108	760111000000115	0
456646018	Referral to diabetes nurse	312856000	456646018	0
3636751012	Acute complication with diabetes mellitus	762489000	3636751012	0
14077861000006116	Focal exudative maculopathy due to diabetes mellitus	314011005	3778098010	0
616081000006113	Diabetes mellitus insulin-glucose infusion in acute myocardial infarction	315287002	459791015	0
264695015	Understands diet - diabetes	170753006	264695015	0
616681000006116	Diabetes mellitus, juvenile, + other specified manifestation	73211009	121589010	1
928511000006116	Type I diabetes mellitus with ketoacidosis	420270002	2967817017	1
457325013	Type I diabetes mellitus without complication	313435000	457325013	1
928461000006119	Persistent proteinuria associated with type 1 diabetes mellitus	420514000	2967914011	1
84681000006118	Type I diabetes mellitus with arthropathy	314893005	459294012	1
84721000006113	Mononeuropathy with type 1 diabetes mellitus	420918009	3697664014	1
616621000006115	Type 1 diabetes mellitus without complication	313435000	457326014	1
546151000000110	DAFNE diabetes structured education programme completed	306471000000103	546151000000110	1
913811000006115	Type 1 diabetes mellitus with polyneuropathy	713705003	3297342019	1
771341000006114	Insulin dependent diabetes mellitus with diabetic cataract	43959009	73294018	1
913681000006111	Insulin dependent diabetes mellitus - poor control	268519009	401531012	1
8098861000006114	Referral to dose adjustment for normal eating diabetes structured education programme	306701000000102	546821000000113	1
546871000000112	Referral to DAFNE diabetes structured education programme	306701000000102	546871000000112	1
928471000006114	Type I diabetes mellitus with persistent proteinuria	420514000	2967914011	1
84661000006111	Type I diabetes mellitus poorly controlled	444073006	2872487013	1
913931000006116	Type 1 diabetes mellitus with peripheral angiopathy	31211000119101	3315042015	1
881441000006111	Diabetes mellitus - juvenile	73211009	881441000006111	1
616601000006113	Diabetes mellitus, juvenile type, + ophthalmic manifestation	739681000	3537386015	1
14083901000006110	Persistent microalbuminuria due to type 1 diabetes mellitus	421305000	3800538010	1
84341000006119	Type 1 diabetes mellitus with hypoglycaemic coma	314771006	459161015	1
8014501000006115	Diabetes mellitus type 1 without retinopathy	31321000119102	3013981017	1
197984010	Type 1 diabetes mellitus	46635009	197984010	1
